minute,hr,spo2,sbp,dbp,temp_c,rr,etco2
0,75,100,172,89,28.7,36,28
1,75,100,172,89,28.7,32,28
2,67,100,169,99,28.7,20,40
3,67,100,150,90,28.7,30,23
4,97,100,120,75,28.7,21,33
5,101,100,186,97,28.7,17,37
6,78,100,186,97,35.3,46,38
7,75,100,186,97,35.9,39,36
8,73,100,186,97,36.1,30,35
9,73,100,99,58,36.1,31,34
10,73,100,99,58,36.1,19,34
11,71,100,87,54,36.1,29,33
12,71,100,87,54,36.0,19,33
13,71,100,82,51,36.0,16,34
14,72,100,82,51,36.0,17,33
15,72,100,82,51,36.0,14,33
16,69,100,75,49,36.0,28,33
17,68,100,75,49,35.9,29,32
18,67,100,74,48,35.9,28,31
19,67,100,74,48,35.9,30,32
20,66,100,74,48,35.9,19,31
21,68,100,74,47,35.9,19,31
22,71,100,74,47,35.8,30,31
23,66,100,81,53,35.8,30,32
24,76,100,81,53,35.8,53,31
25,84,100,107,69,35.7,29,33
26,85,100,107,69,35.7,21,34
27,93,100,107,69,35.7,21,34
28,92,100,134,86,35.7,21,33
29,88,100,134,86,35.7,20,34
30,85,100,134,86,35.7,18,35
31,83,99,144,85,35.7,62,36
32,78,99,144,85,35.7,54,37
33,77,99,132,82,35.7,52,38
34,78,99,132,82,35.7,68,38
35,80,100,132,82,35.7,14,40
36,77,100,129,76,35.7,28,40
37,76,100,129,76,35.7,39,41
38,78,100,142,86,35.7,28,41
39,79,100,142,86,35.7,22,40
40,75,100,142,86,35.7,31,40
41,75,100,138,82,35.7,18,40
42,75,100,138,82,35.7,28,39
43,73,100,137,80,35.8,19,39
44,74,100,137,80,35.8,18,39
45,74,100,137,80,35.8,30,39
46,73,100,133,80,35.8,29,38
47,71,100,133,80,35.8,27,37
48,73,100,140,83,29.6,56,35
49,104,100,140,83,23.7,42,30
50,110,100,140,83,21.3,35,35
51,96,97,140,83,20.4,21,14
52,96,97,140,83,19.9,21,14
53,96,97,140,83,19.7,21,14
54,96,97,140,83,19.6,21,14
55,96,97,140,83,19.6,21,14
56,96,97,140,83,19.5,21,14
57,96,97,140,83,19.5,21,14
58,96,97,140,83,19.4,21,14
59,96,97,140,83,19.4,21,14
60,96,97,140,83,19.4,21,14
61,96,97,140,83,19.4,21,14
