minute,hr,spo2,sbp,dbp,temp_c,rr,etco2
0,75,97,125,78,36.9,15,38
1,75,97,125,78,36.9,15,38
2,75,97,125,78,36.9,15,38
3,75,97,125,78,36.9,15,38
4,76,97,124,78,36.9,15,38
5,76,97,124,78,36.9,16,38
6,76,97,124,77,36.9,16,38
7,76,97,124,77,36.9,16,38
8,76,97,124,77,36.9,16,38
9,76,97,124,77,36.9,16,38
10,76,97,124,77,36.9,16,38
11,77,97,123,77,36.9,16,38
12,77,97,123,77,36.9,16,38
13,77,97,123,77,36.9,16,38
14,77,97,123,77,36.9,16,38
15,77,97,123,76,37.0,16,38
16,77,97,123,76,37.0,17,37
17,78,97,122,76,37.0,17,37
18,78,97,122,76,37.0,17,37
19,78,97,122,76,37.0,17,37
20,78,97,122,76,37.0,17,37
21,79,97,122,76,37.0,17,37
22,80,97,121,76,37.0,17,37
23,82,97,121,75,37.0,17,37
24,83,97,120,75,37.0,17,37
25,84,97,120,75,37.0,18,37
26,85,97,120,75,37.0,18,37
27,86,97,119,75,37.0,18,37
28,88,97,119,74,37.0,18,37
29,89,97,118,74,37.0,18,37
30,90,97,118,74,37.0,18,37
31,91,97,118,74,37.0,18,37
32,91,97,117,73,37.0,18,37
33,92,97,117,73,37.0,18,37
34,93,97,116,73,37.0,19,36
35,93,97,116,73,37.0,19,36
36,94,97,116,72,37.0,19,36
37,95,97,115,72,37.0,19,36
38,95,96,115,72,37.0,19,36
39,96,96,114,72,37.0,19,36
40,97,96,114,71,37.0,19,36
41,97,96,114,71,37.0,19,36
42,98,96,113,71,37.0,20,35
43,99,96,113,71,37.0,20,35
44,99,96,112,70,37.0,20,35
45,100,96,112,70,37.1,20,35
46,102,96,110,69,37.1,20,35
47,104,96,107,68,37.1,21,35
48,105,96,105,66,37.1,21,34
49,107,96,102,65,37.1,22,34
50,109,96,100,64,37.1,22,34
51,111,96,98,63,37.1,22,34
52,113,96,95,62,37.1,23,34
53,114,95,93,60,37.1,23,33
54,116,95,90,59,37.1,24,33
55,118,95,88,58,37.1,24,33
56,120,95,86,56,37.1,24,33
57,122,95,84,54,37.1,25,32
58,123,95,82,52,37.1,26,32
59,125,95,80,50,37.1,26,32
