minute,hr,spo2,sbp,dbp,temp_c,rr,etco2
0,75,96,125,78,37.0,16,38
1,75,96,125,78,37.0,16,38
2,75,96,124,78,37.0,16,38
3,76,96,124,78,37.0,16,38
4,76,96,124,77,37.1,17,38
5,76,96,124,77,37.1,17,38
6,76,96,123,77,37.1,17,38
7,76,96,123,77,37.1,17,38
8,77,96,123,77,37.1,17,38
9,77,96,122,77,37.1,17,38
10,77,96,122,76,37.1,17,38
11,77,96,122,76,37.1,17,38
12,77,96,122,76,37.2,18,38
13,78,95,121,76,37.2,18,37
14,78,95,121,76,37.2,18,37
15,78,95,121,76,37.2,18,37
16,80,95,121,75,37.3,19,37
17,82,95,120,75,37.5,19,37
18,85,95,120,75,37.6,20,37
19,87,95,120,75,37.7,20,37
20,89,95,119,75,37.9,21,37
21,91,95,119,75,38.0,22,37
22,93,95,119,74,38.1,22,37
23,96,95,119,74,38.2,23,37
24,98,95,118,74,38.4,23,37
25,100,95,118,74,38.5,24,37
26,101,95,117,74,38.5,24,37
27,101,95,116,73,38.6,25,37
28,102,95,115,73,38.6,25,37
29,103,95,115,72,38.6,25,36
30,103,95,114,72,38.7,25,36
31,104,95,113,72,38.7,26,36
32,105,95,112,71,38.7,26,36
33,105,94,111,71,38.8,26,36
34,106,94,110,70,38.8,26,36
35,107,94,109,70,38.8,27,36
36,107,94,108,70,38.9,27,36
37,108,94,108,69,38.9,27,35
38,109,94,107,69,38.9,27,35
39,109,94,106,68,39.0,28,35
40,110,94,105,68,39.0,28,35
41,112,94,103,67,39.0,28,35
42,113,94,101,65,39.1,29,35
43,114,93,99,64,39.1,29,34
44,116,93,97,63,39.2,30,34
45,118,93,95,62,39.2,30,34
46,119,93,93,60,39.3,30,34
47,120,93,91,59,39.4,31,34
48,122,92,89,58,39.4,31,33
49,124,92,87,56,39.5,32,33
50,125,92,85,55,39.5,32,33
51,125,92,85,55,39.5,32,33
52,126,92,84,54,39.5,32,33
53,126,91,84,54,39.6,33,32
54,126,91,84,54,39.6,33,32
55,127,91,83,53,39.6,33,32
56,127,91,83,53,39.6,33,32
57,127,90,83,53,39.7,34,31
58,128,90,82,52,39.7,34,31
59,128,90,82,52,39.7,34,31
