minute,hr,spo2,sbp,dbp,temp_c,rr,etco2
0,78,98,124,79,37.0,17,38
1,78,98,125,79,37.0,17,38
2,79,98,125,80,37.0,17,38
3,79,98,126,80,37.1,17,38
4,79,98,126,80,37.1,17,38
5,80,98,127,80,37.1,17,38
6,80,98,127,81,37.1,17,38
7,80,98,127,81,37.1,17,38
8,80,98,127,81,37.1,18,38
9,80,98,127,81,37.2,18,38
10,79,98,127,81,37.2,18,38
11,79,98,127,80,37.2,18,38
12,78,98,127,80,37.2,18,38
13,78,98,126,80,37.2,17,38
14,77,98,126,80,37.2,17,38
15,76,98,125,79,37.1,17,38
16,75,98,125,79,37.1,17,38
17,75,98,124,79,37.1,17,38
18,74,98,123,78,37.1,17,37
19,73,97,123,78,37.1,17,37
20,73,97,122,77,37.1,17,37
21,72,97,121,77,37.0,16,37
22,72,97,120,76,37.0,16,37
23,72,97,119,76,37.0,16,37
24,72,97,119,76,37.0,16,36
25,72,96,118,76,36.9,16,36
26,72,96,118,75,36.9,15,36
27,72,96,117,75,36.9,15,36
28,73,96,117,75,36.8,15,36
29,73,96,116,75,36.8,15,36
30,74,96,116,75,36.8,15,36
31,74,96,116,75,36.7,15,36
32,75,96,116,75,36.7,14,36
33,76,96,116,76,36.7,14,36
34,77,96,117,76,36.7,14,36
35,77,96,117,76,36.7,14,36
36,78,96,117,77,36.6,14,36
37,78,96,118,77,36.6,14,36
38,79,96,118,77,36.6,14,36
39,79,96,119,78,36.6,14,36
40,79,96,120,78,36.6,14,36
41,79,96,120,78,36.6,15,36
42,79,96,121,79,36.6,15,36
43,79,96,122,79,36.6,15,37
44,78,97,123,79,36.6,15,37
45,78,97,123,80,36.6,15,37
46,78,97,124,80,36.6,15,37
47,77,97,124,80,36.7,15,37
48,77,97,125,80,36.7,16,37
49,76,97,125,80,36.7,16,38
50,76,98,126,80,36.7,16,38
51,75,98,126,80,36.8,16,38
52,75,98,126,80,36.8,16,38
53,75,98,126,80,36.8,17,38
54,75,98,126,79,36.8,17,38
55,74,98,126,79,36.9,17,38
56,74,98,126,79,36.9,17,38
57,75,98,125,79,36.9,17,38
58,75,98,125,78,36.9,17,38
59,75,98,125,78,37.0,17,38
